city,articleids
islamabad:,"['25643607', '25642358']"
tehran,"['25665689', '25679778']"
colombo,"['25638187', '25648757', '25654069', '25682268', '25680819']"
indervelli (adilabad district) ,['25674556']
guwahati,"['25643750', '25649368', '25665757', '25658528']"
mount maunganui,['25692462']
kollam,"['25644607', '25665820']"
bansur/jaipur,['25647572']
mumbai: ,"['25638047', '25644826', '25674688', '25674677', '25674662']"
erode ,['25640560']
guwahati/imphal,['25649738']
jaipur,"['25643903', '25643953', '25641873', '25641664', '25647609', '25655844', '25662811', '25661526', '25669284', '25683924']"
paris,"['25643639', '25649318', '25647346', '25656763', '25655731', '25663548', '25662609', '25661839', '25660746', '25674218', '25677805']"
chennai / mumbai,['25656940']
gajwel (siddipet district),"['25665975', '25693174']"
navi mumbai ,"['25644765', '25666388', '25675064']"
khammam/bhadradri-kothagudem,['25644996']
raipur,['25648053']
mysuru ,"['25644634', '25649212', '25649199', '25686410']"
kalpetta,"['25644733', '25649530', '25657166']"
kerameri (kumram bheem asifabad district),['25682960']
burlington,['25656630']
peshawar/islamabad:,['25642209']
sydney,"['25644241', '25642614', '25642551', '25642409', '25647492', '25652783']"
sana’a,"['25656734', '25665680']"
beijing ,['25649309']
thrissur,"['25649533', '25657188']"
brussels:,['25661683']
pune: ,"['25637998', '25674716']"
jakhdawali ,['25674718']
coimbatore,"['25641690', '25640534', '25646444', '25650161', '25652180', '25652175', '25666137', '25666134', '25660237', '25660235', '25668514', '25668512', '25668510', '25675016', '25675006', '25674982', '25674962', '25686250', '25686233', '25683637', '25683620', '25683612', '25683608']"
chennai,"['25643761', '25643749', '25644373', '25638182', '25637871', '25641645', '25638486', '25637859', '25644146', '25644884', '25644808', '25644792', '25644778', '25638512', '25638411', '25638354', '25638330', '25638198', '25638192', '25638186', '25638156', '25638073', '25637940', '25637931', '25637921', '25637917', '25645284', '25645277', '25645255', '25645226', '25645237', '25645207', '25645202', '25656917', '25650261', '25650168', '25650162', '25650155', '25650138', '25650101', '25649825', '25649815', '25649814', '25649776', '25650274', '25650273', '25650272', '25650067', '25650047', '25650025', '25650021', '25657899', '25657877', '25657867', '25657862', '25657846', '25657842', '25657810', '25660110', '25657861', '25657844', '25657838', '25657835', '25657834', '25657831', '25657827', '25657817', '25657814', '25674330', '25674286', '25674250', '25666824', '25666814', '25666426', '25666383', '25674346', '25669986', '25668484', '25666901', '25666881', '25666874', '25666849', '25666844', '25666838', '25666822', '25666801', '25666796', '25666794', '25666788', '25666696', '25682508', '25681121', '25680705', '25679804', '25677191', '25677157', '25677152', '25675286', '25675257', '25682539', '25682490', '25682428', '25675485', '25675477', '25675462', '25675387', '25675360', '25675264', '25675212', '25681034', '25687910', '25686416', '25683647', '25683581', '25683579', '25683570', '25683490', '25683477', '25692160', '25686373', '25683720', '25683713', '25683704', '25683699', '25683692']"
manila,['25680711']
noida,"['25644615', '25644598', '25638463', '25666934', '25675435', '25692492']"
pathanamthitta ,"['25643226', '25656978']"
beirut:,['25653244']
budapest,['25662505']
ezhimala,['25657309']
mangalagiri (guntur district),['25644835']
vizianagaram/srikakulam,['25643754']
kochi,"['25644690', '25644425', '25643701', '25637804', '25644753', '25644734', '25644722', '25644696', '25638255', '25638195', '25638188', '25648164', '25648062', '25655191', '25655113', '25649817', '25649808', '25665901', '25665893', '25664012', '25657741', '25658202', '25658172', '25658150', '25664727', '25670372', '25666714', '25666705', '25666697', '25682895', '25682889', '25681254', '25681226', '25677338', '25674860', '25677332', '25693037', '25692941', '25692892']"
united nations: ,['25660722']
bhopal ,['25674719']
mandya,"['25649626', '25649797', '25674132', '25666452']"
kottayam,"['25649514', '25649331', '25657086', '25666013', '25665997']"
visakhapatnam ,"['25652118', '25660215']"
srinagar ,"['25650227', '25657764', '25657757']"
dubai,['25647835']
tokyo,['25653077']
salem ,['25640552']
dharwad,"['25657601', '25666403']"
dera ismail khan (pakistan): ,['25642302']
chevella ,['25648116']
kannur ,"['25644966', '25645167', '25664359', '25681471', '25681146', '25692895']"
lahore:,['25642702']
tirupati ,['25682769']
vijayawada ,"['25645123', '25637955', '25652147', '25657837', '25666693', '25666580', '25683440', '25683419']"
muzaffarpur (bihar),['25637839']
kancheepuram,['25637934']
london,"['25649286', '25665939', '25665567', '25663748', '25674291', '25672006', '25670458', '25682349', '25682240', '25677677', '25677655', '25692158']"
kodad (telangana),['25671562']
srikakulam,"['25644419', '25660203', '25666725', '25682774']"
tirumala ,['25677390']
mexico city: ,['25646554']
madurai,"['25645083', '25649402', '25649114', '25650176', '25652291', '25652289', '25657911', '25657822', '25660167', '25660165', '25660157', '25657850', '25668518', '25686268']"
mumbai ,"['25644200', '25638092', '25638050', '25656904', '25652230', '25656913', '25665360', '25665282', '25664957', '25682534', '25677710', '25692520']"
hamburg,['25692047']
nizamabad,['25666790']
malappuram ,['25693226']
chandigarh ,"['25664866', '25683151']"
london:,['25646785']
belagavi,"['25644933', '25644822', '25663356', '25657705', '25674117', '25690646', '25683226']"
vitla (dakshina kannada),['25674140']
kozhikode,"['25644810', '25638542', '25638402', '25645206', '25645156', '25650253', '25650230', '25649732', '25665888', '25657650', '25657615', '25657531', '25657485', '25657461', '25657444', '25657429', '25657401']"
kalaburagi ,"['25679115', '25675051']"
hubballi/ bengaluru,['25649567']
dubbak (siddipet district),['25668603']
yellareddy (kamareddy district),['25644387']
visakhapatnam,"['25645095', '25644413', '25638020', '25637993', '25645110', '25645078', '25645048', '25640421', '25640417', '25637965', '25637950', '25652089', '25652082', '25652074', '25652067', '25666051', '25658166', '25658103', '25658097', '25658083', '25674612', '25674588', '25668785', '25668668', '25666599', '25677388', '25677382', '25686305', '25686281', '25686279', '25686277']"
chennai:,"['25680896', '25690822', '25679880']"
tokyo:,['25652913']
rimbo,"['25674180', '25682509']"
mumbai:,"['25642873', '25642715', '25647766', '25652371', '25652333', '25660636', '25660619', '25674713', '25679985', '25690160']"
buenos aires: ,"['25643999', '25643989']"
jerusalem,['25647385']
kovilpatti,['25649831']
greater noida,"['25650499', '25650493', '25650480', '25666941', '25666937', '25666933']"
kottayam ,"['25645100', '25656997', '25656981']"
adelaide ,['25691989']
sydney:,['25660285']
nalgonda,"['25658221', '25683284', '25687364']"
vemulawada ,['25665978']
tiruchi: ,['25640706']
thoothukudi,['25692965']
patna,"['25649548', '25656260', '25652849', '25661394', '25674089', '25673711', '25669684', '25682754']"
adelaide:,['25664481']
lahore,['25682391']
akriti bhatia,['25673215']
udaipur,['25649554']
lucknow,"['25647239', '25657333', '25654188', '25662414', '25666865', '25670771', '25669057', '25679297', '25678379']"
miami:,['25647136']
bhopal,"['25649387', '25654019', '25666808']"
dipthi bhat ,['25645022']
marthadu (anantapur dt.),['25674599']
bengaluru:,"['25643973', '25663298', '25679919', '25690895']"
shimla,['25674280']
dubai:,['25652454']
abu dhabi ,"['25647720', '25655468', '25663471']"
lucknow ,['25692882']
pedana (krishna),['25686329']
colombo ,['25665496']
new delhi ,"['25644276', '25640919', '25638282', '25637836', '25642693', '25647395', '25648109', '25646865', '25656764', '25656701', '25656679', '25656644', '25656404', '25650489', '25664316', '25664076', '25665384', '25674111', '25669105', '25666936', '25682109', '25681488', '25681048', '25680807', '25680540', '25682287', '25683588', '25691610']"
kalaburagi,"['25657663', '25657656', '25666491', '25683242']"
vijayawada,"['25644756', '25643650', '25637942', '25637925', '25637913', '25637901', '25640463', '25637922', '25637907', '25637864', '25652127', '25650247', '25650240', '25649970', '25652105', '25652098', '25665962', '25657818', '25664381', '25666723', '25666731', '25666656', '25682837', '25682820', '25677354', '25674946', '25674931', '25691049', '25686349']"
kochi ,"['25640529', '25637895', '25637892', '25637891', '25637890', '25648572', '25655371', '25649862', '25649846', '25649828', '25657754', '25657752', '25657750', '25657748', '25668811', '25668821', '25682938', '25677319', '25677303', '25677298', '25675043', '25675032', '25675029', '25675027', '25675022', '25675013', '25675011', '25675010', '25675198', '25691768']"
baran,['25649107']
moscow:,['25642268']
chikkamagaluru,['25648877']
bengaluru ,"['25648791', '25660260', '25668466', '25682076', '25674877', '25683362', '25683627']"
bhubaneswar,"['25644116', '25638530', '25644289', '25644243', '25644239', '25644232', '25643909', '25641096', '25649257', '25649248', '25648920', '25665812', '25665774', '25658529', '25683182']"
pune,"['25671678', '25674101', '25666386', '25666343', '25692790', '25692782']"
srinagar: ,['25681725']
bengaluru/mangaluru,['25644976']
navi mumbai,"['25638112', '25675140']"
madurai ,"['25646458', '25652293', '25660163', '25677140']"
b.tilak chandar,['25683678']
seoul:,['25652248']
mumbai,"['25643771', '25642402', '25638043', '25638023', '25644967', '25644926', '25644859', '25644806', '25644789', '25644689', '25644644', '25644575', '25638167', '25638153', '25638076', '25638064', '25638059', '25638013', '25637991', '25637985', '25637973', '25637962', '25648061', '25648056', '25647610', '25649225', '25649290', '25656923', '25656922', '25656753', '25657048', '25652351', '25656999', '25656968', '25653351', '25655331', '25654758', '25652889', '25650144', '25650115', '25650114', '25650084', '25650082', '25650055', '25650037', '25665413', '25663027', '25665048', '25665269', '25664888', '25663830', '25663451', '25674337', '25674319', '25673111', '25674349', '25672812', '25672296', '25671581', '25674701', '25674694', '25674685', '25674667', '25666510', '25666482', '25666474', '25666458', '25666438', '25666425', '25666405', '25666392', '25666375', '25666354', '25666329', '25682497', '25682686', '25681038', '25679821', '25675121', '25675111', '25675100', '25675073', '25675049', '25675039', '25674997', '25674991', '25674967', '25674916', '25692705', '25686857', '25690654', '25690269', '25686922', '25683569', '25683503', '25683495', '25683483', '25683459', '25683414', '25683394', '25683392', '25683371', '25683331', '25683317', '25692479']"
dublin,['25648173']
new delhi: ,['25661510']
kakinada,"['25637979', '25657213', '25657198', '25649945', '25665932', '25660229', '25666754', '25683532']"
beijing,"['25670485', '25672132', '25682451', '25692146', '25692125']"
cuddalore,['25657211']
bristol,['25665481']
kathmandu,['25643546']
aden,['25643684']
​thiruvananthapuram,['25689839']
pudukottai,['25640511']
kolkata ,"['25645298', '25664953', '25687111']"
dindigul,['25649435']
hyderabad,"['25645011', '25644869', '25637710', '25644336', '25644978', '25644952', '25644958', '25644940', '25644899', '25644348', '25640468', '25637818', '25637791', '25637748', '25637716', '25646432', '25646430', '25646428', '25649268', '25705142', '25649429', '25657125', '25657109', '25656960', '25652660', '25650245', '25650216', '25650213', '25650234', '25650204', '25650175', '25650156', '25650102', '25653313', '25660963', '25665980', '25658240', '25658226', '25658136', '25658154', '25658118', '25663104', '25670530', '25668588', '25666742', '25674496', '25672341', '25668541', '25668531', '25668516', '25674059', '25668545', '25668513', '25677321', '25674892', '25682942', '25682937', '25682934', '25682931', '25682419', '25677312', '25677223', '25675242', '25675241', '25675213', '25674774', '25674734', '25674724', '25674720', '25693178', '25693154', '25686830', '25686263', '25686261', '25686248', '25683206', '25687851', '25687640', '25686727', '25686241', '25686237', '25683654', '25683280', '25683276', '25683201', '25692985', '25690812', '25687158']"
adilabad,['25666773']
hubballi,"['25644880', '25683100']"
khammam ,['25682967']
kalpetta ,['25657133']
amaravati,['25660222']
ramanathapuram,"['25662029', '25666646']"
tonk,['25674197']
washington,"['25643803', '25643515', '25641062', '25656851', '25653993', '25665704', '25674277', '25674248', '25668540', '25675236']"
gotluru (anantapur dt.),['25666027']
baikonur,['25656575']
imphal ,['25675178']
vizianagaram,['25637824']
ahmedabad ,"['25647579', '25675166']"
tanhril (mizoram),['25658332']
nassau (bahamas),"['25643958', '25643936', '25647675']"
london/milan,['25643576']
vienna,['25682126']
brussels,['25672020']
sangareddy,['25682327']
jerusalem:,['25660898']
hyderabad:,"['25643131', '25648372']"
attappady (palakkad) ,['25649324']
jagtial/ nizamabad,['25683341']
vitla (dakshina kannada) ,['25674873']
buenos aires,"['25637782', '25649299', '25648536', '25647211', '25645330', '25645281', '25645215']"
kurnool ,"['25649950', '25666677']"
hyderabad ,"['25645023', '25649405', '25649399', '25657116', '25650180', '25658208', '25658197', '25658139', '25665969', '25674524', '25674487', '25668548', '25668546', '25668537', '25666749', '25682926', '25674797', '25693171', '25693165', '25683253', '25683227', '25683213']"
new york,"['25643743', '25661045', '25681928', '25681791', '25687117']"
bengaluru,"['25645026', '25644679', '25644500', '25644075', '25644059', '25637787', '25637759', '25637816', '25649669', '25649163', '25649622', '25656789', '25657337', '25657326', '25657325', '25657236', '25657035', '25656991', '25649722', '25666090', '25666017', '25665991', '25665985', '25663871', '25673991', '25674617', '25674609', '25674561', '25674162', '25674125', '25666471', '25671762', '25671763', '25679960', '25675068', '25674909', '25677930', '25683603', '25683464', '25683437', '25683399', '25683090', '25686412', '25686399']"
koppal/ballari,['25644098']
yadadri-bhuvanagiri,['25657005']
mangaluru,"['25640739', '25645262', '25649716', '25649590', '25652052', '25652048', '25652046', '25666127', '25666534', '25677206', '25675095']"
kozhikode ,"['25644813', '25638623', '25638589', '25638451', '25655601', '25650384', '25650308', '25663736', '25657555', '25668828']"
kodangal,"['25668587', '25668508']"
rgukt basar (nirmal district) ,['25649439']
united nations,"['25670309', '25692065']"
abuja,['25655522']
warangal ,['25668826']
karur,['25666349']
lashkar gah,['25649266']
imphal,['25683912']
chandigarh,"['25645172', '25649255', '25649218', '25674269', '25682737', '25683172']"
berhampur ,"['25650482', '25650469', '25650465']"
houstan,['25680732']
erode,"['25646441', '25646436', '25677179']"
palakkad,"['25649328', '25678868']"
kadapa,['25665945']
staff reporter ,"['25650486', '25674703']"
bengaluru: ,['25680052']
moscow,"['25674187', '25680843']"
chennai: ,['25671787']
buenos aires ,['25640413']
bab al-hawa,['25649297']
bhubaneswar ,"['25650487', '25650463', '25666906', '25666904', '25683921']"
nagapattinam,"['25638434', '25665662', '25660243']"
berlin,['25671960']
katowice,['25677605']
buenos aires:,['25646502']
udupi,"['25640733', '25657220', '25652050', '25666245', '25677249']"
guntur,"['25644589', '25640460', '25666003', '25657847', '25657778', '25677375', '25674970', '25686354', '25686335']"
udhagamandalam ,"['25652178', '25652168', '25652166', '25660233']"
nalgonda ,['25657120']
ahmedabad,"['25656628', '25652702', '25666940']"
hassan ,['25679231']
gurugram,"['25638560', '25638474', '25650474', '25675351']"
kannur,"['25637802', '25665927']"
toronto,['25677642']
machilipatnam,"['25644975', '25637877', '25649861', '25658077', '25657852']"
ballari,"['25649601', '25649161', '25666448', '25666236', '25683556']"
belagavi ,['25649181']
gajwel (sidddipet district),['25674484']
new delhi/berne ,['25647876']
islamabad,['25656870']
newcastle,['25678801']
chevella,['25653518']
mohamed imranullah s.,['25675339']
kiev,['25665700']
kurnool,"['25682878', '25675171']"
kollam ,['25644428']
tumakuru ,['25654050']
pathanamthitta,"['25644832', '25644469', '25649459', '25649452', '25657271', '25657000', '25664175', '25666071', '25692966', '25692926']"
jakarta:,['25646838']
chittoor/viziainagaram ,['25649994']
tumakuru,"['25649618', '25657284', '25654663']"
juba (south sudan): ,['25642556']
nellore,['25644394']
muzaffarnagar (u.p.),['25674293']
buriram (thailand),['25648676']
whangarei,"['25644340', '25647451']"
kohima (nagaland),['25648925']
varanasi,['25692559']
doha,['25652868']
tumakuru/bengaluru ,['25683520']
boston,['25690859']
ghaziabad,"['25638435', '25675398']"
panaji,"['25638005', '25644660', '25668984', '25666263']"
pali (rajasthan) ,['25669959']
east meon,['25643324']
thiruvananthapuram,"['25644886', '25644719', '25644680', '25644625', '25644572', '25644568', '25644520', '25643938', '25643496', '25642652', '25642571', '25642167', '25641893', '25641223', '25644528', '25644521', '25644510', '25644503', '25644468', '25644458', '25644452', '25644435', '25638162', '25638154', '25638142', '25638135', '25638131', '25638125', '25638117', '25638104', '25638095', '25649467', '25649031', '25648599', '25657251', '25657148', '25656946', '25654759', '25653321', '25657233', '25652680', '25650003', '25649978', '25649961', '25649944', '25649914', '25649898', '25649884', '25649866', '25649849', '25665874', '25665838', '25665829', '25664158', '25663972', '25658096', '25658081', '25658071', '25658061', '25657990', '25657972', '25671518', '25670639', '25670537', '25678895', '25682946', '25682932', '25682925', '25681178', '25679775', '25679569', '25679403', '25670793', '25670741', '25678816', '25677327', '25675255', '25675253', '25675251', '25675249', '25675247', '25675226', '25675219', '25675209', '25679075', '25693218', '25693188', '25692100', '25691772', '25688429', '25691033', '25691029', '25683416', '25683398', '25683383', '25683377', '25683372', '25683356', '25689998', '25689889']"
rajkot ,['25692748']
villupuram,"['25649783', '25649782', '25683120', '25683107']"
devikulam (idukki),['25644431']
salem,['25640545']
mexico city : ,['25660608']
rajkot,['25674244']
aizawl,['25644017']
mysuru,"['25644609', '25649559', '25649143', '25666110', '25663313', '25657505', '25674628', '25666411', '25666355', '25666332', '25692579', '25683527']"
karimnagar ,['25671304']
adelaide,"['25647515', '25654745', '25653474', '25652853', '25664860', '25664782', '25661267', '25674184', '25674179', '25674168', '25674104', '25669733', '25669561', '25668921', '25668832', '25682514', '25682462', '25677337', '25692649', '25691961', '25687300', '25686930']"
g.v.r. subba rao vijayawada,['25650205']
gonda (up),['25644171']
tirupati,"['25657796', '25668795', '25666647', '25677386', '25677384', '25675190', '25675182', '25686309', '25683467']"
istanbul,['25674192']
karimnagar,"['25668593', '25677314']"
abu dhabi,"['25665385', '25678172', '25690195']"
cape canaveral,['25658032']
jammu,['25637840']
hong kong:,['25652239']
thungathurthy (suryapet district),['25693214']
thrissur ,"['25644438', '25693062']"
patna ,['25666903']
manipal,"['25657638', '25666513', '25677259']"
kolkata,"['25644045', '25649323', '25656779', '25650476', '25665629', '25658279', '25680794', '25677659', '25679994', '25682530', '25692820', '25683193']"
tirumala,['25686300']
thanjavur,"['25645275', '25645209', '25686311']"
mexico city,['25649261']
alappuzha ,"['25649447', '25682908']"
metiguda (kb asifabad district) ,['25693194']
vijayapura,"['25675086', '25683078']"
new delhi,"['25643621', '25642737', '25638180', '25638103', '25641379', '25638343', '25644341', '25644853', '25644784', '25644781', '25644768', '25644760', '25644746', '25644732', '25644628', '25644583', '25644582', '25644561', '25638635', '25638622', '25638584', '25638543', '25638537', '25638533', '25638531', '25638516', '25638499', '25638496', '25638493', '25638487', '25638485', '25638458', '25638449', '25638428', '25638416', '25646981', '25649308', '25649227', '25649131', '25649121', '25648973', '25648176', '25646950', '25645292', '25648912', '25649539', '25649134', '25649124', '25656915', '25656447', '25656188', '25655804', '25655769', '25655197', '25655111', '25653678', '25653334', '25654070', '25654804', '25654457', '25650501', '25650500', '25650498', '25650495', '25650494', '25650492', '25650491', '25650490', '25650483', '25650477', '25657106', '25656941', '25656920', '25653714', '25654555', '25665370', '25665283', '25665746', '25665693', '25665632', '25665422', '25664949', '25664871', '25663630', '25663483', '25661443', '25661153', '25658526', '25663542', '25660112', '25664688', '25665603', '25674323', '25674311', '25674267', '25674388', '25674343', '25674303', '25674257', '25674018', '25673865', '25673184', '25673179', '25672055', '25671683', '25670201', '25669784', '25668996', '25666294', '25666303', '25673290', '25666399', '25666943', '25666935', '25666931', '25666930', '25666927', '25666926', '25666925', '25666924', '25666923', '25666922', '25666921', '25666919', '25666915', '25666911', '25666908', '25666898', '25666896', '25666890', '25666883', '25666866', '25671715', '25673892', '25666830', '25682115', '25682635', '25682696', '25682630', '25682272', '25682152', '25682140', '25682123', '25681913', '25681857', '25681840', '25679900', '25679519', '25678155', '25675295', '25675194', '25674341', '25674753', '25678703', '25682742', '25675430', '25675426', '25675425', '25675417', '25675416', '25675408', '25675407', '25675405', '25675404', '25675402', '25675400', '25675397', '25675388', '25675376', '25675365', '25675363', '25675356', '25675355', '25675346', '25675329', '25682553', '25680498', '25682431', '25679841', '25679522', '25678092', '25678170', '25692830', '25692802', '25692766', '25692750', '25691573', '25690679', '25690564', '25688213', '25687771', '25687254', '25683599', '25683355', '25683232', '25683145', '25683138', '25690492', '25692916', '25692770', '25692816', '25688778', '25690150']"
hubballi ,['25657522']
puducherry ,"['25657101', '25675115']"
tiruchi,"['25638177', '25640698', '25646483', '25646461', '25665674', '25660245', '25660241', '25666348', '25668535', '25668533', '25677159', '25683694', '25686274', '25686271']"
hyderabad: ,['25648641']
dera baba nanak (india)/ kartarpur (pakistan) ,['25644911']
faridabad,['25650467']
tiruvannamalai,['25649794']
jhalawar,['25649133']
washington:,"['25646920', '25646874', '25646713', '25652710', '25660917', '25660491', '25660300']"
panaji ,['25683133']
attari (amritsar),['25637843']
adelaide: ,"['25664434', '25664417']"
vatican city,['25680430']
srinagar,"['25640775', '25641765', '25649315', '25645310', '25645268', '25665684', '25663955', '25658254', '25674357', '25673044', '25672530', '25683128']"
nairobi:,['25646968']
anantapur,"['25644375', '25643721', '25637820', '25649916', '25665982', '25660209', '25660198', '25674620', '25682796']"
dhaka,"['25643922', '25647410']"
tokyo/washington,['25678099']
chennai ,"['25645125', '25637854', '25637846', '25637794', '25638611', '25638338', '25638290', '25638171', '25649371', '25645271', '25645224', '25657880', '25657804', '25657779', '25664962', '25660115', '25660113', '25657812', '25666497', '25666892', '25666859', '25666816', '25666787', '25666777', '25666643', '25675469', '25675452', '25675325', '25675282', '25675231', '25675207', '25683680', '25683625', '25683731', '25683724', '25683710']"
kafr al-dawar (egypt),['25690941']
thiruvananthapuram ,"['25648095', '25657303', '25655324', '25665824', '25664354', '25665914', '25682135', '25682928', '25680585', '25674845', '25692869', '25691756', '25687199']"
bulandshahr,"['25665747', '25665737', '25660890']"
udhagamandalam,"['25666193', '25666803', '25675125', '25686258']"
bucharest:,['25641984']
cooch behar (wb) ,['25680120']
malappuram,"['25657173', '25656944', '25665920', '25682868', '25677350']"
alappuzha,"['25645085', '25644627', '25649496', '25649469', '25648800', '25657067', '25657009', '25666018', '25682898', '25682851', '25693097', '25693079', '25693061', '25693045', '25693022']"
motihari (bihar),['25681497']
madhira (khammam dist),['25658235']
los angeles,['25668845']
hassan,"['25644080', '25642295', '25654004', '25657550']"
chittoor,"['25669726', '25686307']"
nassau ,['25648674']
paris:,['25642130']
katowice ,['25648664']
shivamogga,"['25649613', '25692603']"
sircilla ,['25657114']
